Mouse_ID,avg_ox,stdev_ox,avg_gly,stdev_glyc
AZ_F1_11_a,0.513,0.269,0.487,0.269
AZ_F1_201_a,0.551,0.198,0.449,0.198
AZ_F1_201_b,0.605,0.093,0.395,0.093
AZ_F1_201_c,0.54,0.219,0.46,0.219
AZ_F1_202_b,0.642,0.193,0.358,0.193
AZ_F1_202_d,0.662,0.187,0.338,0.187
AZ_F1_203_a,0.43,0.21,0.57,0.21
AZ_F1_203_b,0.425,0.331,0.575,0.331
AZ_F1_203_e,0.451,0.115,0.549,0.115
AZ_F1_203_f,0.315,0.093,0.685,0.093
AZ_F1_203_g,0.489,0.161,0.511,0.161
AZ_F1_203_h,0.519,0.212,0.481,0.212
AZ_F1_207_b,0.442,0.265,0.558,0.265
AZ_F1_207_c,0.645,0.249,0.355,0.249
AZ_F1_3_b,0.537,0.248,0.463,0.248
AZ_F1_3_e,0.494,0.27,0.506,0.27
AZ_F1_3_f,0.464,0.284,0.536,0.284
AZ_F1_7_a,,0.043,0.968,0.043
AZ_F1_7_b,0.633,0.302,0.367,0.302
AZ_F1_7_c,0.445,0.152,0.555,0.152
AZ_F1_7_f,0.456,0.246,0.544,0.246
LN_F1_114_a,0.49,0.301,0.51,0.301
LN_F1_114_c,0.52,0.196,0.48,0.196
LN_F1_114_i,0.39,0.214,0.61,0.214
LN_F1_114_j,0.449,0.165,0.551,0.165
LN_F1_121_f,0.466,0.246,0.534,0.246
LN_F1_121_g,0.436,0.138,0.564,0.138
LN_F1_121_o,0.646,0.237,0.354,0.237
LN_F1_121_p,0.649,0.27,0.351,0.27
LN_F1_201_c,0.566,0.234,0.434,0.234
LN_F1_201_d,0.449,0.163,0.551,0.163
LN_F1_201_k,0.371,0.238,0.629,0.238
LN_F1_201_l,0.375,0.182,0.625,0.182
LN_F1_201_n,0.521,0.308,0.479,0.308
LN_F1_201_o,0.409,0.214,0.591,0.214
LN_F1_202_d,0.5,0.206,0.5,0.206
LN_F1_202_f,0.563,0.206,0.437,0.206
LN_F1_202_k,0.526,0.2,0.474,0.2
LN_F1_202_l,0.492,0.194,0.508,0.194
LS_105_c(M2),0.515,0.161,0.485,0.161
LS_F1_202_a,0.543,0.167,0.457,0.167
LS_F1_202_h,0.505,0.256,0.495,0.256
LS_F1_202_h,0.521,0.152,0.479,0.152
LS_F1_202_v,0.505,0.114,0.495,0.114
LS_F1_206_a,0.484,0.108,0.516,0.108
LS_F1_206_c,0.46,0.166,0.54,0.166
LS_F1_206_o,0.592,0.169,0.408,0.169
LS_F1_207_c,0.468,0.224,0.532,0.224
LS_F1_207_h,0.548,0.182,0.452,0.182
LS_F1_208_a,0.512,0.093,0.488,0.093
LS_F1_208_b,0.378,0.253,0.622,0.253
LS_F1_208_f,0.41,0.228,0.59,0.228
ME_107_Y(L),0.401,0.156,0.599,0.156
ME_203_E-2(M),0.748,0.193,0.252,0.193
ME_203_E-3(M),0.767,0.195,0.233,0.195
ME_F1_104_ac,0.674,0.187,0.326,0.187
ME_F1_106_d,0.475,0.291,0.525,0.291
ME_F1_108_h,0.61,0.138,0.39,0.138
ME_F1_201_a,0.581,0.184,0.419,0.184
ME_F1_201_a,0.481,0.159,0.519,0.159
ME_F1_201_b,0.586,0.224,0.414,0.224
ME_F1_202_a,0.691,0.188,0.309,0.188
ME_F1_203_a,0.533,0.231,0.467,0.231
ME_F1_203_b,0.707,0.164,0.293,0.164
ME_F1_204_c,0.539,0.243,0.461,0.243
ME_F1_204_o,0.445,0.1,0.555,0.1
ME_F1_208_a,0.562,0.219,0.438,0.219
ML_F1_1_b,0.758,0.13,0.242,0.13
ML_F1_201_c,0.431,0.382,0.57,0.382
ML_F1_201_d,0.698,0.265,0.302,0.265
ML_F1_205_a,0.508,0.271,0.492,0.271
ML_F1_205_b,0.596,0.196,0.404,0.196
ML_F1_205_c,0.44,0.226,0.56,0.226
ML_F1_208_a,0.587,0.136,0.413,0.136
ML_F1_208_c,0.447,0.186,0.553,0.186
ML_F1_208_d,0.658,0.39,0.342,0.39
ML_F1_208_i,0.452,0.197,0.548,0.197
ML_F1_208_j,0.635,0.077,0.365,0.077
ML_F1_5_d,0.471,0.238,0.529,0.238
ML_F1_9_b,0.503,0.212,0.497,0.212
Mus_31a,0.315,0.228,0.685,0.228
Mus_31m,0.767,0.185,0.233,0.185
Mus_31n,0.458,0.221,0.542,0.221
Mus_34a,0.697,0.101,0.303,0.101
Mus_34b,0.522,0.247,0.478,0.247
Mus_34m,0.289,0.169,0.711,0.169
Mus_41m,0.551,0.099,0.449,0.099
Mus_43a,0.375,0.21,0.625,0.21
Mus_43c,0.497,0.176,0.503,0.176
Mus_43d,0.437,0.254,0.563,0.254
Mus_43e,0.722,0.088,0.278,0.088
Mus_43m,0.405,0.129,0.595,0.129
Mus_44a,0.257,0.152,0.743,0.152
Mus_44b,0.418,0.223,0.582,0.223
Mus_44c,0.405,0.27,0.595,0.27
Mus_44d,0.442,0.166,0.558,0.166
Mus_44e,0.392,0.134,0.608,0.134
Mus_44m,0.672,0.207,0.328,0.207
PO_006,0.537,0.256,0.463,0.256
PO_027,0.506,0.224,0.494,0.224
PO_034,0.592,0.259,0.408,0.259
PO_043,0.598,0.206,0.402,0.206
PO_045,0.824,0.155,0.176,0.155
PO_047,0.764,0.125,0.236,0.125
PO_051,0.78,0.195,0.22,0.195
PO_060,0.77,0.189,0.23,0.189
PO_064,0.608,0.316,0.392,0.316
PO_13,0.601,0.137,0.399,0.137
PO_14,0.718,0.16,0.282,0.16
PO_16,0.537,0.128,0.463,0.128
PO_19,0.553,0.224,0.447,0.224
PO_20,0.527,0.219,0.473,0.219
PO_26,0.569,0.155,0.431,0.155
PO_27,0.693,0.206,0.307,0.206
PO_41,0.542,0.164,0.458,0.164
PO_46,,0.144,0.845,0.144
