Mouse_ID,image,type1_oxidative,type2_oxidative,glycolytic,total,prop_ox,prop_glyco,comments
ME_F1_201_a,1,34,3,44,81,0.4567901235,0.5432098765,
ME_F1_201_a,2,37,18,33,88,0.625,0.375,
ME_F1_201_a,3,62,0,29,91,0.6813186813,0.3186813187,
ME_F1_201_a,4,20,1,30,51,0.4117647059,0.5882352941,
ME_F1_201_a,5,60,0,18,78,0.7692307692,0.2307692308,
ME_F1_201_a,6,49,17,18,84,0.7857142857,0.2142857143,
ME_F1_201_a,7,58,0,31,89,0.6516853933,0.3483146067,
ME_F1_201_a,8,24,10,48,82,0.4146341463,0.5853658537,
ME_F1_201_a,9,35,13,37,85,0.5647058824,0.4352941176,
ME_F1_201_a,10,73,18,10,101,0.900990099,0.09900990099,
ME_F1_201_a,11,31,21,27,79,0.6582278481,0.3417721519,
ME_F1_201_a,12,23,0,31,54,0.4259259259,0.5740740741,
ME_F1_201_a,13,28,5,56,89,0.3707865169,0.6292134831,
ME_F1_201_a,14,18,3,33,54,0.3888888889,0.6111111111,
ME_F1_201_a,15,15,5,38,58,0.3448275862,0.6551724138,
ME_F1_201_a,16,60,0,11,71,0.8450704225,0.1549295775,
,,,,,,0.5809725797,0.4190274203,
,,,,,,0.1835500917,0.1835500917,
AZ_F1_7_f,1,13,0,35,48,0.2708333333,0.7291666667,
AZ_F1_7_f,2,66,0,0,66,1,0,
AZ_F1_7_f,3,5,9,45,59,0.2372881356,0.7627118644,
AZ_F1_7_f,4,2,7,39,48,0.1875,0.8125,
AZ_F1_7_f,5,1,16,30,47,0.3617021277,0.6382978723,
AZ_F1_7_f,6,89,0,0,89,1,0,
AZ_F1_7_f,7,36,0,33,69,0.5217391304,0.4782608696,
AZ_F1_7_f,8,22,0,41,63,0.3492063492,0.6507936508,
AZ_F1_7_f,9,0,41,31,72,0.5694444444,0.4305555556,
AZ_F1_7_f,10,,,,0,,,
AZ_F1_7_f,11,25,0,29,54,0.462962963,0.537037037,
AZ_F1_7_f,12,10,0,29,39,0.2564102564,0.7435897436,
AZ_F1_7_f,13,15,0,33,48,0.3125,0.6875,
AZ_F1_7_f,14,0,25,39,64,0.390625,0.609375,
AZ_F1_7_f,15,28,0,36,64,0.4375,0.5625,
AZ_F1_7_f,16,33,0,35,68,0.4852941176,0.5147058824,
,,,,,,0.4562003905,0.5437996095,
,,,,,,0.2463337681,0.2463337681,
LN_F1_202_k,1,37,0,19,56,0.6607142857,0.3392857143,
LN_F1_202_k,2,26,0,44,70,0.3714285714,0.6285714286,
LN_F1_202_k,3,20,0,37,57,0.350877193,0.649122807,
LN_F1_202_k,4,70,0,0,70,1,0,
LN_F1_202_k,5,50,0,30,80,0.625,0.375,
LN_F1_202_k,6,,,,0,,,
LN_F1_202_k,7,,,,0,,,
LN_F1_202_k,8,42,0,33,75,0.56,0.44,
LN_F1_202_k,9,36,0,39,75,0.48,0.52,
LN_F1_202_k,10,22,0,27,49,0.4489795918,0.5510204082,
LN_F1_202_k,11,23,0,42,65,0.3538461538,0.6461538462,
LN_F1_202_k,12,26,0,37,63,0.4126984127,0.5873015873,
,,,,,,0.5263544209,0.4736455791,
,,,,,,0.1996837351,0.1996837351,
LS_F1_207_h,1,47,0,44,91,0.5164835165,0.4835164835,
LS_F1_207_h,2,68,0,27,95,0.7157894737,0.2842105263,
LS_F1_207_h,3,50,0,44,94,0.5319148936,0.4680851064,
LS_F1_207_h,4,58,0,45,103,0.5631067961,0.4368932039,
