Mouse_ID,Species,Strain,Sex,Family,DOB,Habitat,Treatment,Replicate,Cage_ID,DOD,Elevation,Date Sectioned,Section Initials,Cork?,Section notes,#slides,Slide Stained (ALK),Date stained (ALK),ALK image date,Initials,Slide Stained (SDH),Date stained (SDH),SDH image date,Initials,Stain Notes,Quantification Notes
AZ_F1_11_a,P. aztecus,AZ,F,AZ-11,8/26/15,highland,1000,2,AZ_1000-2,7/3/16,3200,,,,,,,,,,4,1/15/20,2/25/20,HE,,
AZ_F1_201_a,P. aztecus,AZ,M,AZ-201,1/6/16,highland,1000,1,AZ_1000-1,7/2/16,3200,,,,,,,,,,4,1/15/20,2/25/20,HE,"LESS THAN 75%, small secctions, and long cells",
AZ_F1_201_b,P. aztecus,AZ,M,AZ-201,1/6/16,highland,3000,1,AZ_3000-1,7/4/16,3200,,,,,,,,,,4,1/14/20,2/21/20,HE,breakage,
AZ_F1_201_c,P. aztecus,AZ,M,AZ-201,1/6/16,highland,4500,1,AZ_4500-1,7/6/16,3200,8/3/18,NO,yes,,4,slide 1,,,,2,1/21/20,3/2/20,HE,,
AZ_F1_202_b,P. aztecus,AZ,F,AZ-202,1/2/16,highland,3000,3,AZ_3000-3,,3200,7/11/18,NO,no,,4,slide 1,3/1/19,,,2,4/25/19,5/2/19,SD,"blurry and cracked cells, 13 images",
AZ_F1_202_c,P. aztecus,AZ,F,AZ-202,3/7/16,highland,3000,2,AZ_3000-2,7/5/16,3200,,,,,,,,,,4,1/15/20,2/26/20,HE,soleus,
AZ_F1_202_d,P. aztecus,AZ,M,AZ-202,3/7/16,highland,4500,3,AZ_4500-3,,3200,3/9/18,NO,No,,6,slide 2,,,,3,4/10/19,5/8/19,HE,,
AZ_F1_202_h,P. aztecus,AZ,M,AZ-202,5/18/16,highland,4500,3,AZ_4500-3,,3200,6/21/18,NO,yes,training,6,slide 1,3/14/19,,,3,1/16/20,2/26/20,HE,"air bubbles, long cells, small sections, only 4 images",
AZ_F1_202_i,P. aztecus,AZ,M,AZ-202,7/22/16,highland,1000,3,AZ_1000-3,,3200,,,,,,,,,,,,,,,
AZ_F1_203_a,P. aztecus,AZ,M,AZ-203,1/12/16,highland,1000,1,AZ_1000-1,7/2/16,3200,,,,,,,,,,4,1/15/20,2/21/20,HE,very bad breakage in cells,
AZ_F1_203_b,P. aztecus,AZ,M,AZ-203,1/12/16,highland,3000,1,AZ_3000-1,7/4/16,3200,,NO,,,,slide 1,3/14/19,,,2,1/21/20,3/2/20,HE,broken and cracked cells,
AZ_F1_203_e,P. aztecus,AZ,M,AZ-203,5/13/16,highland,1000,3,AZ_1000-3,,3200,,NO,,,,slide 1,3/14/19,,,4,4/17/19,5/1/19,SD,14 images,
AZ_F1_203_f,P. aztecus,AZ,M,AZ-203,5/13/16,highland,1000,3,AZ_1000-3,,3200,,,,,,,,,,4,1/14/20,1/29/20,HE,"air bubbles, 15 images",
AZ_F1_203_g,P. aztecus,AZ,F,AZ-203,5/13/16,highland,3000,3,AZ_3000-3,,3200,5/15/18,NO,No,exome capture (listed as Az_202_g on foil and Az_ 203_g on sample),6,slide 1,,,,6,4/17/19,4/19/19,SD,UNIMAGEABLE-LESS THAN 75%,
AZ_F1_203_h,P. aztecus,AZ,F,AZ-203,5/13/16,highland,3000,3,AZ_3000-3,,3200,4/13/18,NO,No,,6,slide 2,,,,1,4/24/19,5/1/19,HE,,
